,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,stalled-cycles-backend,stalled-cycles-frontend,context-switches,cpu-clock,cpu-migrations,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,problem_size,threads,time,speedup
106,1378301740,60900833,15743157,161775183,12465803613,8032906601,1770089447,1790555656,8606,5849.61,1101,153754,153755,5856.82,87801139,3603582938,4691,99846471,38468032,3226449597,81962506,15426833,157944588,27427771,63037266,1395990546,1305648,3564097670,316691,3219700685,1,4,0.872,2.382645259938838
107,1242907189,61242600,17509269,159829127,12044002872,7619017451,1780818038,1870158632,6675,5656.79,1019,153742,153743,5664.51,88102615,3377569390,6156,99593364,43192544,3104342545,80170894,17450606,158252097,29690946,62208128,1282435064,1235647,3417021473,326708,3086521570,1,8,0.6366666666666667,3.2633507853403145
108,1323670424,60937596,18865853,160105530,12511340693,7778016384,1740810931,1810527084,8012,5891.2,1038,154585,154586,5899.96,87690026,3473379026,7210,98381499,44686665,3180415865,82525859,18183889,160367048,31134987,64623637,1306602619,1236522,3465680271,327427,3159885212,1,16,0.5569999999999999,3.730101735487733
109,1260755707,61925762,18302656,160676322,12374755878,7760512350,1872524108,1797789782,8492,5815.99,1224,158055,158056,5825.83,90993548,3394375739,9643,100157754,42907585,3214955689,86511881,18171217,161905688,30542902,59570002,1279471897,1788575,3489060118,355501,3097378193,1,32,0.7416666666666666,2.8013483146067424
110,1291577873,64046492,22677578,174345538,12980086189,7851249077,1873081897,1925807485,11643,6135.67,1410,160776,160777,6148.91,94028622,3556596190,9463,103663098,44508005,3254326519,84388885,19962281,162436732,35511546,61620085,1308578244,1544829,3506858101,381411,3172195414,1,64,0.5963333333333334,3.4840693124650643
111,1380092136,60962783,24193719,181526969,13439117340,8175914905,2012585598,2069944714,15124,6367.52,2143,160959,160960,6383.56,98941183,3701917318,11176,105638063,45264649,3427862650,85323478,20877247,166829873,35532006,62500340,1432899373,1654737,3726017516,376337,3237416840,1,128,0.6603333333333333,3.146390711761737
112,4095251823,206843934,69295195,442139055,39502193001,27809802318,13563588798,3643551417,9953,18415.96,940,166911,166912,18427.71,297689638,11888655699,4651,358957957,57456980,10427170659,339884467,68934687,435363782,136235645,205239572,4072312722,6270147,11861966014,391447,10401922622,2,1,7.135000000000001,1.0
113,4044670422,208454501,65205126,446789036,41491100095,27758722844,12931715660,3553465269,10173,19334.77,1117,153030,153031,19346.82,294134770,11778729837,4445,355137484,51896550,10356373278,333984657,64543268,434797634,137000912,207968876,4064718381,1563571,11768459149,372913,10276364372,2,2,3.976333333333333,1.7943666694609777
114,4057229880,210079658,67040827,458628879,45362380722,27915977183,10440994564,3861330524,10486,21118.85,1251,155619,155620,21132.32,298389120,11772078991,5450,361295528,57651170,10223419235,325336971,65635193,443535965,137039242,210393622,4071055754,8656160,11728708091,382896,10177823488,2,4,3.306666666666666,2.157762096774194
115,4077841733,210662937,62979025,445405755,46872078437,27765209807,7388158032,3661681582,10336,21916.79,1238,150035,150036,21930.27,292810481,11565823343,5734,356711159,55119888,10076803034,328421927,62566950,440106412,140481876,209631834,4003162045,2087993,11585510679,404808,10070133117,2,8,1.9523333333333333,3.654601331739799
116,4106640469,212288984,64890605,452068763,46919730321,27954945286,7540969060,3802748072,12909,21907.18,1410,157467,157468,21921.85,291827522,11798710266,7621,357196210,56055405,10288578640,323062468,63310582,442239890,144207310,209801000,4136929911,1946344,11783695592,395447,10140969465,2,16,3.0120000000000005,2.3688579017264275
117,4153152000,215678740,63743266,457018703,47515841340,28167298993,8574630450,4032732674,12827,22193.68,1729,166997,166998,22209.37,299072681,11878909004,12518,358909195,61527540,10170826910,313228887,64166043,448893874,142707645,213136029,4118602906,2021521,11752673930,438063,10261874120,2,32,1.7,4.197058823529412
118,4108509078,210432924,71881267,475522161,48373690859,28117205571,8498068367,4176129187,14929,22551.89,2020,184283,184284,22570.88,306859574,11999292899,16967,366106583,64188240,10456177293,324689951,68020926,452585312,144850642,214210468,4114936364,7711400,11768324400,461700,10177893548,2,64,2.114333333333333,3.374586157969416
119,4163741399,215249764,70741779,483972399,48592907493,28215332080,8097203600,4372176181,18510,22773.47,2721,212252,212253,22796.42,306715051,11928799644,24698,358845938,66745975,10282968763,325481575,68947478,473165287,148074352,215334515,4137622351,2332247,11983233660,428207,10388376617,2,128,4.496,1.586966192170819
120,835172237,26384110,10695698,87960705,6187750063,3905090761,1112838406,1358094498,7859,2920.08,929,137117,137118,2925.3,33844624,1893038864,3939,33004220,35902831,1683679705,299661,10081107,79834477,15160101,25947572,833360804,972466,1903561689,298380,1708237178,0,1,0.8136666666666666,1.0
121,699812591,28923835,12059763,87730683,5806725422,3689860047,1381455994,1284087786,5610,2738.37,731,146200,146201,2743.77,34777657,1830036484,4359,34605049,33173087,1598534889,405319,12047283,81599683,19258696,27494531,706516477,967559,1761200954,300264,1622779171,0,2,0.531,1.5323289391086
122,639015869,28706748,9784464,86959930,5789326248,3615962681,1170879117,1361658442,4170,2727.17,885,150122,150123,2732.13,36780005,1677199463,3916,36073040,35964876,1496768105,376176,10927022,85842553,16862856,28410555,614642809,971497,1644204947,294223,1536220120,0,4,0.508,1.6017060367454068
123,679689476,28963514,12155517,92743324,6172015189,3643510779,1176823229,1460007977,4468,2914.8,855,150917,150918,2920.16,39832044,1742809333,3877,39716146,37482864,1588955093,358210,12334098,83081023,18668674,28274766,685953689,974912,1748077756,285431,1589417130,0,8,0.4496666666666666,1.809488510007413
124,725245427,29225170,10821329,95391176,6727300608,3980067739,1132449714,1439398088,4908,3166.69,919,157525,157526,3171.73,39119979,1906054412,4520,41760863,37138855,1653269570,408266,10774212,90920819,17640374,28096666,722254729,1037314,1865604931,289291,1667178383,0,16,0.4096666666666667,1.986167615947925
125,972666114,33022167,14097780,110565501,9253654562,5023402676,1341201970,1848026925,9215,4387.44,1346,175445,175446,4396.19,48921896,2455299976,6141,47771056,43062104,2107694615,377772,13282858,94412256,22024732,31190929,1019493196,1191144,2440692323,280403,2012948595,0,32,0.7153333333333333,1.1374650512581548
126,1453409654,33681271,16804253,117756263,12064906158,6805681625,1391013895,2187127950,16051,5711.13,2163,189504,189505,5724.05,52108625,3279228554,7439,51402907,49343217,2642544974,412788,17274967,109378138,27555080,34307141,1452486054,1320953,3268558628,298879,2631534245,0,64,0.8283333333333333,0.9822937625754528
127,1876020256,32783311,23426337,132206646,15993164953,8742793113,1926305311,2818803911,21565,7558.59,3437,205301,205302,7582.83,62724467,4210349933,11597,63444248,51924943,3387374702,416850,23152494,122453583,37131575,32377555,1843945861,1334459,4286435163,293815,3343859618,0,128,1.3063333333333331,0.622862975248788
128,865789383,39568486,12873276,103634744,7235523410,5282283439,1953650677,1435175308,5566,3394.72,874,134319,134320,3399.56,49945768,2378302818,4324,47063562,33754937,2115343931,548003,11212060,95559637,18309657,39035726,906634360,910373,2356160296,290394,2075467295,1,1,1.6333333333333335,1.0
129,1106720617,41797876,15438063,106952095,8912560690,5889292954,1574143990,1578287688,7201,4186.59,837,137201,137202,4192.9,51837422,2620382494,4972,45617187,40479938,2323438923,590198,15453760,99365880,23927491,41208952,1141418740,978945,2661190018,275597,2304415106,1,2,1.1206666666666667,1.457465794170137
130,958712034,42315287,14632103,110882721,8482480443,5626742054,1823163434,1548253619,5576,3981.69,881,148562,148563,3987.37,53008915,2523549908,4816,46192621,36711190,2243681679,584694,12879907,97420812,22551883,41370188,992192284,1039423,2497872476,286969,2201939609,1,4,0.965,1.6925734024179622
131,943289949,43424286,16781016,113583829,9363532883,5617934546,1541058011,1742049817,4455,4389.34,881,150030,150031,4396.07,53618366,2533207699,4476,50209090,41729407,2241479960,527675,15620218,105939967,24936273,45127367,959908021,1110181,2530953596,279010,2157675637,1,8,0.8543333333333333,1.911822083495904
132,1052661392,44927721,14066190,116602544,9991240739,6038087337,1622741379,1741767105,5335,4703.04,968,170168,170169,4709.04,58832755,2773105557,4589,53853900,40424163,2378586231,599046,13713760,108870127,23329661,45742271,1035967439,1398434,2776239486,286171,2346696073,1,16,0.7213333333333334,2.2643253234750462
133,1310482348,47898922,17326039,129276518,12813653990,7253105533,1757982417,1982718462,8382,6043.71,1334,183460,183461,6052.63,65067575,3367485745,6008,60529304,48057995,2778425084,522265,17765077,120311612,30204873,48210520,1315519631,1708187,3306287158,294658,2682651272,1,32,0.8969999999999999,1.820884429580082
134,1607638973,48481061,19173133,138548877,15129176616,8724724391,2227117734,2319600547,12006,7131.97,2430,205383,205384,7145.05,74880544,4063587508,7892,67443355,49301265,3182261704,642024,18957093,135046922,33948937,49594516,1584901735,2124644,4005806197,309490,3192428705,1,64,1.1226666666666667,1.4548693586698338
135,2174196819,50343748,27761901,165695222,20355780837,11274363603,2462525218,2942934498,20803,9594.37,3845,216687,216688,9618.66,80194629,5400100885,13073,76031275,53014276,4036923509,596673,27438517,154944729,46423602,51807460,2163150192,1945014,5360384314,345576,4082655871,1,128,1.7009999999999998,0.9602194787379976
136,1853507693,88416458,21757108,134993343,14653137550,12310033824,4601709766,2192548018,4836,6824.6,954,270995,270997,6830.43,66479719,5119078048,4294,67690827,43283723,4421294502,1100379,21039141,122046450,38206563,87753325,1870680048,1515432,5092054317,286346,4391236348,2,1,5.057666666666667,1.0
137,1826242354,95270771,23129005,131218469,15297497725,12007583625,4003020988,2148236130,4793,7127.27,872,154407,154408,7133.61,65240692,5053234791,4207,72657672,43371392,4412477958,823821,23196441,122089370,41985943,94642743,1832049468,1028374,5121467905,305033,4443456352,2,2,3.785333333333334,1.3361218738992602
138,1926192472,93802229,24852822,140194212,16838177553,12660644864,4134872064,2357749299,5033,7862.98,874,203597,203598,7869.94,69474929,5316384686,4813,73012853,48560853,4597227536,948195,23946116,127686313,44684176,92064554,1942285982,1590714,5296529484,280980,4544836338,2,4,2.817333333333333,1.7951964032181733
139,2015084859,101064213,23680761,141979952,18586683149,12984474289,3722072615,2394100903,5331,8678.26,875,195850,195851,8684.81,70124376,5514481496,4982,78403704,49054545,4676154451,1102960,24759031,131589757,45628631,102090544,2025543575,1736504,5569302452,284946,4674102711,2,8,2.4546666666666668,2.0604291146116243
140,2304988520,101616396,27813113,156800122,22526098884,13691638099,3412207401,2619593548,7698,10549.29,875,224810,224811,10557.39,78180007,5963296763,5583,81835824,51405096,4925883932,1046981,27278859,144209890,52020078,100329089,2296057817,2445925,6042556061,319869,4950960189,2,16,1.909,2.6493801292125023
141,2514296917,98478952,30807925,162618704,25409106519,15045640651,3941701301,2697502246,8649,11932.31,1212,244020,244021,11942.35,85629391,6652240558,5922,93709180,44523411,5307902861,1145239,28956983,149039441,55730651,99035311,2502106181,2400999,6641674348,288521,5250652280,2,32,2.236666666666667,2.261251862891207
142,2979972024,110159257,33631543,204975098,30077796012,17236718558,4580481479,3476607362,12949,14097.2,2580,305995,305996,14112.05,105824602,7765006700,8523,112259722,66966633,6058907051,1277911,34821013,188419433,65889520,109885279,2963277141,3525525,7734400677,282127,6015769109,2,64,2.6980000000000004,1.874598468000988
143,3769585356,112823829,44984809,244001930,37301418305,21042106033,4715855722,4306101674,22530,17543.29,4365,389883,389884,17569.77,128198703,9685298003,10354,134440847,68784346,7251936349,1276097,43051560,212577215,82505962,109975980,3750360893,3796351,9595902197,301702,7246799092,2,128,3.6206666666666663,1.396888234211011
